Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
14509 - SDOS,14509,VILLE DE TROIS-RIVIERES,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,24500,0%,4/19/2016,4/19/2016
14510 - SDOS,14510,SNC LAVALIN,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,40000,0%,4/19/2016,4/19/2016
14512 - SDOS,14512,"COMMISSION DES NORMES, DE L'EQUITE, DE LA SANTE ET DE LA SECURITE DU TRAVAIL",Formation,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,24500,0%,4/19/2016,4/19/2016
14504 - TMA OS Lot 1 Package 1,14504,EDF - DIRECTION DES ACHATS,Infra,Paris,LPS | Assistance,Perdue,CONTE,MAUDET,174000,0%,4/20/2016,4/22/2016
14505 -  [UGAP] Tests Unitaires et automatisés OwnCloud,14505,CNRS DSI,Développement,GSO,LPS | Forfait,Signée,DESCHUTTER,VALENTIN,21863.82,100%,4/20/2016,4/29/2016
14506 - [UGAP]Â POC OBM LinShare Samba,14506,ASP PUBLIC,OBM,GSO,LGS l Service Forfait,Signée,DESCHUTTER,VALENTIN,22934.1,100%,4/20/2016,4/21/2016
14508 - LinShare Saas 20 cptes,14508,STIME - GROUPEMENT DES MOUSQUETAIRES/DIRECTION TECHNIQUE,LinShare,GSO,LGS l Souscription,Qualification,DESCHUTTER,VALENTIN,400,50%,4/21/2016,5/13/2016
14513 - PORTAIL DE GARANTIE DONNEES,14513,AFD,Studio,Paris,LPS | Forfait,Perdue,VASSILIEFF,MOUTON,50000,0%,4/26/2016,4/27/2016
14514 - Support Linshare pour Casino 2016/2017 (fin 30/04/2017),14514,Axians,LinShare,GSE,LGS l Souscription,Signée,PHILIPPENKO,MAUDET,7500,100%,4/26/2016,4/27/2016
14516 - [UGAP] expertise Linshare 2016,14516,COUR DES COMPTES,LinShare,Paris,LGS l Service Assistance,Signée,VASSILIEFF,MARTIN,9173.64,100%,4/27/2016,5/4/2016
14517 - Formation OBM Administration Avancée,14517,JULIANA MULTIMEDIA,Formation,Paris,LTS | Intra,Signée,MATONDO,MAUDET,2100,100%,4/28/2016,4/28/2016
14518 - OBM,14518,CONCEPT FEDERALITUDE,OBM,Paris,LCS | Assistance,Sans suite,KISAKA,MAUDET,10000,0%,4/28/2016,5/9/2016
14519 - Website,14519,CONCEPT FEDERALITUDE,Studio,Paris,LCS | Assistance,Sans suite,KISAKA,CAMICAS,10000,0%,4/28/2016,5/9/2016
14521 - [UGAP] Accompagnement et transfert de compétences LemonLDAP,14521,VILLE DE VILLEURBANNE,LinID,Paris,LGS l Service Forfait,Sans suite,BENHADDOU,MAUDET,40000,0%,4/28/2016,5/2/2016
14522 - KFC UX bornes de commandes,14522,KFC,Studio,NEOMA,LPS | Forfait,Signée,BENHADDOU,MAUDET,11600,100%,4/28/2016,5/13/2016
14523 - Sécurisation et fiabilisation OpenLDAP tranche ferme,14523,RENNES METROPOLE,LinID,Paris,LGS l Service Forfait,Gagnée,STG_SIRIGU,MAUDET,14650,100%,4/28/2016,7/1/2016
14525 - Migration Opush 3,14525,COMMUNAUTE D'AGGLOMERATION DE SAINT LO,OBM,Paris,LGS l Service Forfait,Signée,BENHADDOU,MAUDET,3000,100%,4/28/2016,6/1/2016
14526 - TMA OS Lot 1 Package 2,14526,EDF - DIRECTION DES ACHATS,LinID,Paris,LGS l Service Assistance,Signée,CONTE,MAUDET,85000,100%,4/4/2016,4/4/2016
